PID,Condition,Expert/Novice (E/N),Gender,Age Range,Pre-Survey / Q1,Q2,Q3,Task - Shape Recognition / Performance - x/4,Time spent,Task - Volume estimation / Performance - correct? (1/0),Time spent,NASA LTX Session 1 - Low cognition tasks / Q1,Q2,Q3,Q4,Q5,Q6,Shape Matching Task 1 - Easy / User Value Input / a,b,c,m,Volume,User Changed Values x times / a,b,c,m,Mesh Overlapping time,Total Time,Performance Score,Shape Matching Task 2 - Hard / User Value Input / a,b,c,m,Volume,User Changed Values x times / a,b,c,m,Mesh Overlapping time,Total Time,Performance Score,Shape Matching Task 3 - Rock Shape Matching / User Value Input / a,b,c,m,Volume,User Changed Values x times / a,b,c,m,Mesh Overlapping time,Total Time,Performance Score,NASA LTX Session 2 - Medium cognition tasks / Q1,Q2,Q3,Q4,Q5,Q6,Gripper Operation / Attempts,Total Time,Gripper Design 1 - Size Effects / Model Choice,Animation Choice,Observing Time on robot / design 1,design 2,design 3,Observing time on hand / design 1,design 2,design 3,Animation play time / design1,design 2,design 3,Total Time,Gripper Design 2 - Shape Effects / Model choice,Animation choice,Observing Time on robot / design 1,design 2,design 3,Observing time on hand / design 1,design 2,design 3,Animation play time / design 1,design 2,design3,Total Time,Gripper Design 3 - Nubs Effects / Model choice,Animation choice,Observing Time on robot / design 1,design 2,design 3,Observing time on hand / design 1,design 2,design 3,Animation play time / design 1,design 2,design 3,Total Time,NASA LTX Session 3 - High cognition tasks / Q1,Q2,Q3,Q4,Q5,Q6,Q4,Q5,T1_barr_meanF_pct,T2_barr_meanF_pct,T3_barr_meanF_pct,T1_vol_err_signed_pct,T2_vol_err_signed_pct,T3_vol_err_signed_pct
101,XR,N,M,18-24,0,0,No,4,27.9968,1,25.00004,13,12,5,15,12,13,0.6,0.7,0.8,3.9,2.158002096694947,1,2,3,2,0,121.0054,80.90535473200194,0.2,0.8,0.8,4,0.8296943810286571,4,2,2,3,0,98.99409,65.66129105815655,0.7,0.4,0.7,2.8,1.0723999257852013,1,3,1,1,0,76.99595,94.70145892291613,14,14,3,13,14,5,1,58.39888,2,2,0,12.78,0,0,7.46,0,26.72,9.18,11.9,217.31,1,2,29.96,3.78,0,8.26,4.89,0,27.9,17.3,13.89,301.59,1,3,84.54,1.76,0,2.24,3.82,0,16.18,12.54,19.74,142.35,14,14,14,12,16,14,5,"Mild discomfort (lasted <10 mins, did not affect task completion)",9.4200,33.2300,8.0390,37.3700,-32.4700,2.1240
102,XR,N,M,18-24,2,1,Yes,4,17.995,1,23.01112,3,6,0,19,2,0,0.5,0.7,0.8,3.7,1.76212615821602,2,2,4,2,4.1,74.99107,88.25903366697617,0.3,0.7,1,2.3,0.9985875333284918,5,4,6,2,55.88,104.9976,84.27037863537181,0.8,0.5,0.7,4.5,1.8857580487253898,1,1,1,1,10.37,30.99756,59.79494803127172,10,10,13,13,15,2,1,31.65809,2,2,0,7.18,0,0,12.99,0,12.95,69.85,40.06,182.31,2,2,7.65,2.14,0,9.92,1.97,0,14.13,19.35,23.49,154.37,1,1,51.42,0,0,6.28,10.71,9.17,27.74,12.77,11.65,123.4,15,3,6,14,15,2,4,"Mild discomfort (lasted <10 mins, did not affect task completion)",4.9500,9.5400,17.1530,12.1700,-18.7300,79.5790
103,XR,N,M,18-24,3,2,Yes,4,41.99763,1,19.00195,4,1,4,17,4,10,0.5,0.6,0.8,4.4,1.605477463257918,4,5,2,5,0,138.9927,97.98836310505999,0.3,0.7,1,3.1,1.217706414036611,3,1,1,3,0,41.00763,91.66069565947782,0.7,0.4,0.7,1.6,0.6321317424181474,2,1,6,1,24.42,64.99203,56.08104137730115,14,11,0,8,10,12,2,79.76649,2,1,0,360.85,0,0,20.31,0,99.21,151.19,95.65,504.47,1,2,103.03,0,0,10.54,0,0,22.99,11.85,18.1,125.49,3,3,0,1.15,2.39,0,3.9,5.19,9.82,8.56,13.5,90.86,15,14,6,9,17,15,4,"Mild discomfort (lasted <10 mins, did not affect task completion)",1.7700,4.9700,21.9530,2.2000,-0.8900,-39.8030
104,XR,N,M,18-24,0,0,No,0,85.78513,1,19.00044,10,1,4,20,2,4,0.5,0.6,0.8,3.7,1.510393849899446,4,2,1,2,8.12,46.98682,93.98842649590438,0.3,0.8,0.9,5,1.496956678391731,2,1,2,0,20.68,28.99848,72.4250998482831,0.8,0.4,0.7,3.9,1.4386680644632996,1,1,1,2,14.18,23.01015,75.95445927263948,10,5,4,19,6,10,3,76.57814,1,1,7.44,1.06,0.54,4.28,4.27,2.04,8.5,0,0,88.42,1,1,9.13,0,0,3,0.17,0,18.93,0,0,65.39,3,3,0,0,24.42,0,0.61,2.9,0,0,1.27,40.21,14,6,15,12,17,16,2,"Moderate discomfort (lasted 10-30 mins, slightly affected task completion)",2.0900,8.3700,9.5080,-3.8500,21.8400,37.0030
105,XR,N,M,18-24,3,2,No,4,16.99909,1,19.00389,6,7,6,16,8,8,0.5,0.7,0.8,3.6,1.74238626993963,0,1,2,1,0,52.99232,87.62393167599625,0.4,0.7,1,2.8,1.531999893978858,2,1,2,2,0,57.00868,86.75199590780151,0.9,0.5,0.6,2.8,1.477285612051043,1,5,1,1,0,72.99382,79.05142450932351,10,9,8,12,8,12,4,185.6013,2,2,0,6.15,0,0,7.35,0,0,17.22,0,144.6,3,1,0,0,184.84,0,0,13.58,34.82,0,11.89,166.13,3,2,18.25,24.08,143.1,10.56,8.75,16.72,0,11.31,11.75,163.46,10,13,11,16,7,13,2,No discomfort experienced,4.8300,8.1000,12.2430,10.9100,24.6900,40.6800
106,XR,N,M,18-24,2,1,Yes,4,17.99312,1,17.00776,6,1,0,18,1,0,0.5,0.6,0.8,4.5,1.616364041764619,1,4,2,2,35.01,93.00542,97.05189585663858,0.3,0.7,0.9,2.7,1.010602317696425,1,2,5,2,56.43,73.00765,91.45729496806547,0.8,0.5,0.7,3.7,1.7621261582160201,1,1,0,3,47.93,90.98613,68.39415094999083,9,5,0,17,6,1,2,56.96711,2,2,0,11.56,0,0,3.79,0,15.58,6.09,51.17,151.91,3,2,0,0,353.4,0,0,11.96,7.53,13.79,272.22,377.09,1,3,60.84,0,0,2.96,0,0,0,8.97,13.74,93.39,3,2,0,18,4,14,1,No discomfort experienced,1.8400,7.8900,15.4440,2.8900,-17.7500,67.8060
107,XR,N,F,18-24,2,2,No,4,38.01101,1,26.99197,0,10,0,18,10,6,0.6,0.7,0.8,2.8,1.83839987277463,4,6,10,6,0,236.9824,73.53728895966944,0.4,0.7,0.9,2.5,1.27804189984786,6,6,2,5,59.08,158.9976,90.73379773019933,0.7,0.5,0.6,2.9,1.173420260262717,2,1,2,6,18.43,97.00264,91.14841777080964,15,16,10,8,13,8,1,33.74857,2,2,0,5.09,0,0,3.28,0,0,18.79,0,143.4,2,3,0.6,119.11,16.96,4.61,12.4,21.18,0,0,54.03,226.54,2,3,0,87.74,12.46,0,20.18,9.26,0,0,13.99,170.12,16,15,5,15,14,8,4,"Mild discomfort (lasted <10 mins, did not affect task completion)",6.8800,5.9500,9.6760,17.0300,4.0200,11.7440
108,XR,N,M,18-24,1,0,Yes,4,35.01012,1,36.99796,11,14,13,8,15,19,0.5,0.7,0.8,4.1,1.830680315468274,3,1,4,1,0,80.98562,90.50599110208071,0.3,0.8,0.9,3.5,1.327970268483285,3,2,2,1,0,64.99577,84.68511455408864,0.8,0.4,0.7,2.7,1.1977508950476154,1,2,1,1,0,69.00181,89.28698527228019,18,15,14,4,17,20,1,96.06171,2,2,0,10.36,0,0,8.65,0,0,1.95,0,108.66,2,2,0,3.56,0,0.88,4.83,0.42,0,2.22,0,86.41,3,3,0,0,5.17,0,0,2.13,0,0,30.57,82.53,15,13,15,7,19,20,6,"Moderate discomfort (lasted 10-30 mins, slightly affected task completion)",5.5300,6.9300,7.5170,16.5300,8.0800,14.0610
109,XR,E,M,25-34,4,3,Yes,4,26.99644,0,18.99014,3,2,2,18,2,2,0.5,0.6,0.8,4.2,1.581915525346075,2,2,3,1,50.96,77.00312,100,0.3,0.8,0.9,2.5,1.09546448558388,3,1,2,1,38.78,53.00899,88.16114578060484,0.7,0.4,0.5,3.3,0.837779475539785,1,1,1,1,21.68,33.00775,85.0225144313133,5,3,4,18,4,3,1,41.2779,3,3,0,0,4.89,0,0,6.1,0,0,2.59,107.2,2,2,0,6.89,0,0,4.29,0,0,2.24,0,79.91,1,1,5.19,0,0,4.96,0,0,14.44,0,0,73.4,6,4,5,14,4,4,2,No discomfort experienced,1.7000,8.5700,11.2780,0.7000,-10.8400,-20.2190
110,XR,E,M,45-54,0,2,No,4,25.99665,1,33.00013,6,10,0,10,3,6,0.5,0.6,0.8,4.1,1.569154556115663,0,1,2,2,68.36,112.9926,98.91809910402925,0.3,0.7,0.9,3.1,1.09593577263295,7,1,2,5,95.01,165.0089,89.45168689250761,0.8,0.4,0.6,4.3,1.2752066445374068,1,1,3,1,85.64,97.00504,78.70352878861094,10,13,6,14,7,8,1,146.8703,2,2,0,18.95,0,0,3.82,0,0,26.43,0,173.76,1,2,137.42,0,0,1.94,0,0,9.67,17.11,0,134.88,3,3,0,0,45.25,0,0,3.04,0,0,17.52,64.28,10,10,14,12,8,13,3,No discomfort experienced,1.7000,5.3600,8.1650,-0.1100,-10.8000,21.4370
